都道府県市区町村コード,市区町村名,基準メッシュコード,備考
32201,松江市,53333100,
32201,松江市,53333110,
32202,浜田市,52310757,
32202,浜田市,52310758,
32202,浜田市,52310759,
32202,浜田市,52310765,
32202,浜田市,52310766,
32202,浜田市,52310767,
32202,浜田市,52310768,
32202,浜田市,52310769,
32202,浜田市,52310775,
32202,浜田市,52310776,
32202,浜田市,52310777,
32202,浜田市,52310778,
32202,浜田市,52310779,
32202,浜田市,52310784,
32202,浜田市,52310785,
32202,浜田市,52310786,
32202,浜田市,52310787,
32202,浜田市,52310788,
32202,浜田市,52310789,
32202,浜田市,52310794,
32202,浜田市,52310795,
32202,浜田市,52310796,
32202,浜田市,52310797,
32202,浜田市,52310798,
32202,浜田市,52310799,
32202,浜田市,52311701,
32202,浜田市,52311702,
32202,浜田市,52311703,
32202,浜田市,52311704,
32202,浜田市,52311705,
32202,浜田市,52311706,
32202,浜田市,52311707,
32202,浜田市,52311708,
32202,浜田市,52311709,
32202,浜田市,52311711,
32202,浜田市,52311712,
32202,浜田市,52311713,
32202,浜田市,52311714,
32202,浜田市,52311715,
32202,浜田市,52311716,
32202,浜田市,52311717,
32202,浜田市,52311718,
32202,浜田市,52311719,
32202,浜田市,52311721,
32202,浜田市,52311722,
32202,浜田市,52311723,
32202,浜田市,52311724,
32202,浜田市,52311725,
32202,浜田市,52311726,
32202,浜田市,52311727,
32202,浜田市,52311728,
32202,浜田市,52311729,
32202,浜田市,52311731,
32202,浜田市,52311732,
32202,浜田市,52311733,
32202,浜田市,52311734,
32202,浜田市,52311735,
32202,浜田市,52311736,
32202,浜田市,52311737,
32202,浜田市,52311738,
32202,浜田市,52311739,
32202,浜田市,52311743,
32202,浜田市,52311744,
32202,浜田市,52311745,
32202,浜田市,52311746,
32202,浜田市,52311747,
32202,浜田市,52311748,
32202,浜田市,52311749,
32202,浜田市,52311755,
32202,浜田市,52311756,
32202,浜田市,52311757,
32202,浜田市,52311758,
32202,浜田市,52311759,
32202,浜田市,52311765,
32202,浜田市,52311766,
32202,浜田市,52311767,
32202,浜田市,52311768,
32202,浜田市,52311769,
32202,浜田市,52311774,
32202,浜田市,52311775,
32202,浜田市,52311776,
32202,浜田市,52311777,
32202,浜田市,52311778,
32202,浜田市,52311779,
32202,浜田市,52311786,
32202,浜田市,52311787,
32202,浜田市,52311788,
32202,浜田市,52311789,
32202,浜田市,52311798,
32202,浜田市,52311799,
32202,浜田市,52312709,
32202,浜田市,52312719,
32202,浜田市,52320041,
32202,浜田市,52320042,
32202,浜田市,52320043,
32202,浜田市,52320045,
32202,浜田市,52320046,
32202,浜田市,52320047,
32202,浜田市,52320050,
32202,浜田市,52320051,
32202,浜田市,52320052,
32202,浜田市,52320053,
32202,浜田市,52320054,
32202,浜田市,52320055,
32202,浜田市,52320056,
32202,浜田市,52320057,
32202,浜田市,52320058,
32202,浜田市,52320059,
32202,浜田市,52320060,
32202,浜田市,52320061,
32202,浜田市,52320062,
32202,浜田市,52320063,
32202,浜田市,52320064,
32202,浜田市,52320065,
32202,浜田市,52320066,
32202,浜田市,52320067,
32202,浜田市,52320068,
32202,浜田市,52320069,
32202,浜田市,52320070,
32202,浜田市,52320071,
32202,浜田市,52320072,
32202,浜田市,52320073,
32202,浜田市,52320074,
32202,浜田市,52320075,
32202,浜田市,52320076,
32202,浜田市,52320077,
32202,浜田市,52320078,
32202,浜田市,52320079,
32202,浜田市,52320080,
32202,浜田市,52320081,
32202,浜田市,52320082,
32202,浜田市,52320083,
32202,浜田市,52320084,
32202,浜田市,52320085,
32202,浜田市,52320086,
32202,浜田市,52320087,
32202,浜田市,52320088,
32202,浜田市,52320089,
32202,浜田市,52320090,
32202,浜田市,52320091,
32202,浜田市,52320092,
32202,浜田市,52320093,
32202,浜田市,52320094,
32202,浜田市,52320095,
32202,浜田市,52320096,
32202,浜田市,52320097,
32202,浜田市,52320098,
32202,浜田市,52320099,
32202,浜田市,52320140,
32202,浜田市,52320150,
32202,浜田市,52320151,
32202,浜田市,52320160,
32202,浜田市,52320161,
32202,浜田市,52320162,
32202,浜田市,52320170,
32202,浜田市,52320171,
32202,浜田市,52320172,
32202,浜田市,52320173,
32202,浜田市,52320174,
32202,浜田市,52320180,
32202,浜田市,52320181,
32202,浜田市,52320182,
32202,浜田市,52320183,
32202,浜田市,52320184,
32202,浜田市,52320185,
32202,浜田市,52320190,
